build-built-built,construire
burn-burnt-burnt,brûler
learn-learnt-learnt,apprendre
dig-dug-dug,creuser
get-got-got,recevoir;chercher;obtenir
shoot-shot-shot,tirer (au fusil);tourner (un film)
lose-lost-lost,perdre
sit-sat-sat,asseoir
smell-smelt-smelt,sentir (une odeur)
spell-spelt-spelt,épeler
bend-bent-bent,courber
lend-lent-lent,prêter
send-sent-sent,envoyer
spend-spent-spent,dépenser
find-found-found,trouver
have-had-had,avoir
hear-heard-heard,entendre
hold-held-held,tenir
slide-slid-slid,glisser
strike-struck-struck,frapper
stand-stood-stood,être debout
understand-understood-understood,comprendre
shine-shone-shone,briller
win-won-won,gagner
make-made-made,faire;fabriquer
lay-laid-laid,poser;allonger
pay-paid-paid,payer
say-said-said,dire
sell-sold-sold,vendre
tell-told-told,raconter;dire à